id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	CD4+ Tex-N|CD4+ Tex-N	CD4+ Tex-N|CD4+ Tex-Y	CD4+ Tex-N|GZMK+ CD8+ Tem1-N	CD4+ Tex-N|GZMK+ CD8+ Tem1-Y	CD4+ Tex-N|S100A12+ Mac-N	CD4+ Tex-N|S100A12+ Mac-Y	CD4+ Tex-N|Treg-N	CD4+ Tex-N|Treg-Y	CD4+ Tex-Y|CD4+ Tex-N	CD4+ Tex-Y|CD4+ Tex-Y	CD4+ Tex-Y|GZMK+ CD8+ Tem1-N	CD4+ Tex-Y|GZMK+ CD8+ Tem1-Y	CD4+ Tex-Y|S100A12+ Mac-N	CD4+ Tex-Y|S100A12+ Mac-Y	CD4+ Tex-Y|Treg-N	CD4+ Tex-Y|Treg-Y	GZMK+ CD8+ Tem1-N|CD4+ Tex-N	GZMK+ CD8+ Tem1-N|CD4+ Tex-Y	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-N|S100A12+ Mac-N	GZMK+ CD8+ Tem1-N|S100A12+ Mac-Y	GZMK+ CD8+ Tem1-N|Treg-N	GZMK+ CD8+ Tem1-N|Treg-Y	GZMK+ CD8+ Tem1-Y|CD4+ Tex-N	GZMK+ CD8+ Tem1-Y|CD4+ Tex-Y	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-Y|S100A12+ Mac-N	GZMK+ CD8+ Tem1-Y|S100A12+ Mac-Y	GZMK+ CD8+ Tem1-Y|Treg-N	GZMK+ CD8+ Tem1-Y|Treg-Y	S100A12+ Mac-N|CD4+ Tex-N	S100A12+ Mac-N|CD4+ Tex-Y	S100A12+ Mac-N|GZMK+ CD8+ Tem1-N	S100A12+ Mac-N|GZMK+ CD8+ Tem1-Y	S100A12+ Mac-N|S100A12+ Mac-N	S100A12+ Mac-N|S100A12+ Mac-Y	S100A12+ Mac-N|Treg-N	S100A12+ Mac-N|Treg-Y	S100A12+ Mac-Y|CD4+ Tex-N	S100A12+ Mac-Y|CD4+ Tex-Y	S100A12+ Mac-Y|GZMK+ CD8+ Tem1-N	S100A12+ Mac-Y|GZMK+ CD8+ Tem1-Y	S100A12+ Mac-Y|S100A12+ Mac-N	S100A12+ Mac-Y|S100A12+ Mac-Y	S100A12+ Mac-Y|Treg-N	S100A12+ Mac-Y|Treg-Y	Treg-N|CD4+ Tex-N	Treg-N|CD4+ Tex-Y	Treg-N|GZMK+ CD8+ Tem1-N	Treg-N|GZMK+ CD8+ Tem1-Y	Treg-N|S100A12+ Mac-N	Treg-N|S100A12+ Mac-Y	Treg-N|Treg-N	Treg-N|Treg-Y	Treg-Y|CD4+ Tex-N	Treg-Y|CD4+ Tex-Y	Treg-Y|GZMK+ CD8+ Tem1-N	Treg-Y|GZMK+ CD8+ Tem1-Y	Treg-Y|S100A12+ Mac-N	Treg-Y|S100A12+ Mac-Y	Treg-Y|Treg-N	Treg-Y|Treg-Y
CPI-SS02EBC1BB0	TNF_NOTCH1	simple:P01375	simple:P46531	TNF	NOTCH1	True	False	True	I2D	False	0.21	0.241	0.165	0.179	0.337	0.374	0.164	0.174	0.212	0.242	0.166	0.18	0.339	0.375	0.165	0.176	0.126	0.156	0.08	0.094	0.253	0.289	0.079	0.09	0.128	0.159	0.082	0.097	0.255	0.292	0.081	0.092	0.48	0.51	0.434	0.448	0.607	0.643	0.433	0.444	0.274	0.304	0.228	0.243	0.401	0.437	0.227	0.238	0.143	0.174	0.098	0.112	0.27	0.307	0.097	0.107	0.139	0.17	0.093	0.108	0.266	0.303	0.092	0.103
CPI-SS04A5D6B6F	DLL1_NOTCH1	simple:O00548	simple:P46531	DLL1	NOTCH1	False	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.14	0.064	0.078	0.237	0.273	0.063	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.142	0.066	0.08	0.239	0.275	0.065	0.076	0.11	0.14	0.064	0.078	0.237	0.273	0.063	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B81F1BF5	TNF_SEMA4C	simple:P01375	simple:Q9C0C4	TNF	SEMA4C	True	False	True	InnateDB-All	False	0.107	0.107	0.109	0.104	0.0	0.103	0.107	0.107	0.108	0.108	0.111	0.106	0.0	0.105	0.108	0.108	0.022	0.022	0.025	0.02	0.0	0.019	0.022	0.022	0.024	0.025	0.027	0.022	0.0	0.021	0.025	0.024	0.376	0.376	0.379	0.373	0.0	0.373	0.376	0.376	0.17	0.171	0.173	0.168	0.0	0.167	0.17	0.17	0.04	0.04	0.042	0.037	0.0	0.036	0.04	0.04	0.035	0.036	0.038	0.033	0.0	0.032	0.036	0.035
CPI-SS0AB21032D	PLXNB2_SEMA4C	simple:O15031	simple:Q9C0C4	PLXNB2	SEMA4C	False	True	True	curated	False	0.03	0.03	0.033	0.028	0.0	0.027	0.03	0.03	0.042	0.042	0.045	0.039	0.0	0.039	0.042	0.042	0.011	0.011	0.014	0.009	0.0	0.008	0.011	0.011	0.016	0.016	0.019	0.014	0.0	0.013	0.016	0.016	0.347	0.348	0.35	0.345	0.0	0.344	0.347	0.347	0.642	0.642	0.644	0.639	0.0	0.639	0.642	0.642	0.023	0.023	0.025	0.02	0.0	0.019	0.023	0.022	0.011	0.011	0.014	0.009	0.0	0.008	0.011	0.011
CPI-SS09C917D22	TNF_FLT4	simple:P01375	simple:P35916	TNF	FLT4	True	False	True	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0
CPI-SS0D883FFF1	VEGFD_FLT4	simple:O43915	simple:P35916	VEGFD	FLT4	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03B8E2D7A	TNF_ICOS	simple:P01375	simple:Q9Y6W8	TNF	ICOS	True	False	True	InnateDB-All	False	0.41	0.324	0.176	0.152	0.103	0.102	0.476	0.43	0.411	0.325	0.177	0.154	0.104	0.103	0.477	0.431	0.325	0.239	0.091	0.068	0.018	0.017	0.392	0.345	0.328	0.241	0.093	0.07	0.02	0.019	0.394	0.348	0.679	0.593	0.445	0.421	0.372	0.371	0.745	0.699	0.473	0.387	0.239	0.216	0.166	0.165	0.54	0.493	0.343	0.257	0.109	0.085	0.036	0.035	0.409	0.363	0.339	0.252	0.104	0.081	0.031	0.03	0.405	0.359
CPI-SS0E4B1484B	ICOSLG_ICOS	simple:O75144	simple:Q9Y6W8	ICOSLG	ICOS	True	False	True	curated	False	0.311	0.225	0.077	0.054	0.004	0.003	0.378	0.332	0.315	0.228	0.08	0.057	0.007	0.006	0.381	0.335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.311	0.225	0.077	0.054	0.004	0.003	0.377	0.331	0.385	0.298	0.151	0.127	0.077	0.076	0.451	0.405	0.356	0.27	0.122	0.098	0.048	0.047	0.422	0.376	0.32	0.234	0.086	0.063	0.013	0.012	0.386	0.34	0.325	0.239	0.091	0.067	0.018	0.017	0.391	0.345
CPI-SS04B4619D0	TNF_TNFRSF1A	simple:P01375	simple:P19438	TNF	TNFRSF1A	True	False	True	curated	False	0.205	0.214	0.234	0.315	0.997	0.889	0.158	0.204	0.206	0.215	0.235	0.316	0.999	0.89	0.159	0.206	0.12	0.129	0.149	0.23	0.913	0.804	0.073	0.12	0.123	0.131	0.151	0.233	0.915	0.807	0.076	0.122	0.474	0.483	0.503	0.584	1.266	1.158	0.427	0.474	0.269	0.277	0.297	0.378	1.061	0.953	0.222	0.268	0.138	0.147	0.167	0.248	0.93	0.822	0.091	0.137	0.134	0.142	0.162	0.244	0.926	0.818	0.087	0.133
CPI-SS084BE3E4B	LTA_TNFRSF1A	simple:P01374	simple:P19438	LTA	TNFRSF1A	True	False	True	curated	False	0.126	0.134	0.154	0.236	0.918	0.81	0.079	0.125	0.128	0.137	0.157	0.238	0.921	0.812	0.081	0.128	0.115	0.124	0.144	0.225	0.907	0.799	0.068	0.114	0.115	0.124	0.144	0.225	0.907	0.799	0.068	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.104	0.113	0.133	0.214	0.897	0.788	0.057	0.104	0.183	0.192	0.212	0.293	0.976	0.867	0.136	0.183	0.183	0.191	0.211	0.292	0.975	0.867	0.136	0.182
CPI-SS0F9B3B259	TNFSF13_TNFRSF1A	simple:O75888	simple:P19438	TNFSF13	TNFRSF1A	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.107	0.115	0.135	0.216	0.899	0.791	0.06	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108	0.117	0.137	0.218	0.9	0.792	0.061	0.108	0.106	0.114	0.134	0.216	0.898	0.79	0.059	0.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08B7D54A3	TNF_FAS	simple:P01375	simple:P25445	TNF	FAS	True	False	True	InnateDB-All	False	0.451	0.61	0.297	0.269	0.127	0.153	0.522	0.449	0.452	0.611	0.299	0.271	0.128	0.155	0.523	0.45	0.366	0.525	0.213	0.185	0.042	0.069	0.437	0.364	0.369	0.527	0.215	0.187	0.045	0.071	0.439	0.367	0.72	0.879	0.566	0.539	0.396	0.423	0.791	0.718	0.514	0.673	0.361	0.333	0.19	0.217	0.585	0.513	0.384	0.543	0.23	0.202	0.06	0.086	0.455	0.382	0.38	0.538	0.226	0.198	0.056	0.082	0.45	0.378
CPI-SS0A83A7E30	TNFSF13_FAS	simple:O75888	simple:P25445	TNFSF13	FAS	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.352	0.511	0.199	0.171	0.029	0.055	0.423	0.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.354	0.513	0.2	0.173	0.03	0.057	0.425	0.352	0.352	0.51	0.198	0.17	0.028	0.054	0.422	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E7D5974D	TNF_TNFRSF1B	simple:P01375	simple:P20333	TNF	TNFRSF1B	True	False	True	curated	False	0.59	0.741	0.383	0.377	1.901	1.859	1.124	1.115	0.592	0.743	0.384	0.378	1.902	1.861	1.125	1.116	0.506	0.657	0.298	0.292	1.816	1.775	1.039	1.03	0.508	0.659	0.301	0.294	1.818	1.777	1.042	1.032	0.859	1.011	0.652	0.646	2.17	2.129	1.393	1.384	0.654	0.805	0.446	0.44	1.964	1.923	1.187	1.178	0.523	0.674	0.316	0.31	1.834	1.792	1.057	1.048	0.519	0.67	0.312	0.305	1.829	1.788	1.053	1.043
CPI-SS07D9A48A2	LTA_TNFRSF1B	simple:P01374	simple:P20333	LTA	TNFRSF1B	True	False	True	curated	False	0.511	0.662	0.304	0.297	1.821	1.78	1.045	1.035	0.514	0.665	0.306	0.3	1.824	1.783	1.047	1.038	0.5	0.651	0.293	0.287	1.81	1.769	1.034	1.025	0.5	0.652	0.293	0.287	1.811	1.769	1.034	1.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.641	0.282	0.276	1.8	1.759	1.023	1.014	0.569	0.72	0.361	0.355	1.879	1.838	1.102	1.093	0.568	0.719	0.361	0.354	1.878	1.837	1.102	1.092
CPI-SS048A2311A	TNF_RIPK1	simple:P01375	simple:Q13546	TNF	RIPK1	True	False	True	I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT	False	0.148	0.176	0.137	0.172	0.159	0.16	0.169	0.18	0.149	0.177	0.138	0.174	0.16	0.161	0.171	0.181	0.063	0.091	0.052	0.088	0.075	0.075	0.085	0.095	0.065	0.094	0.055	0.09	0.077	0.078	0.087	0.098	0.417	0.445	0.406	0.442	0.428	0.429	0.439	0.449	0.211	0.239	0.201	0.236	0.223	0.224	0.233	0.243	0.081	0.109	0.07	0.105	0.092	0.093	0.102	0.113	0.076	0.105	0.066	0.101	0.088	0.089	0.098	0.109
CPI-SS0D5C54214	LTA_RIPK1	simple:P01374	simple:Q13546	LTA	RIPK1	True	False	True	IMEx,InnateDB-All,MINT	False	0.068	0.097	0.058	0.093	0.08	0.081	0.09	0.101	0.071	0.099	0.06	0.096	0.083	0.083	0.093	0.103	0.057	0.086	0.047	0.082	0.069	0.07	0.079	0.09	0.058	0.086	0.047	0.082	0.069	0.07	0.079	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.075	0.036	0.072	0.058	0.059	0.069	0.079	0.126	0.154	0.115	0.151	0.138	0.138	0.148	0.158	0.125	0.154	0.115	0.15	0.137	0.138	0.147	0.158
CPI-SS0DEDA3567	TNFSF10_RIPK1	simple:P50591	simple:Q13546	TNFSF10	RIPK1	True	False	True	InnateDB-All	False	0.421	0.449	0.41	0.446	0.432	0.433	0.442	0.453	0.542	0.57	0.531	0.566	0.553	0.554	0.563	0.574	0.295	0.323	0.285	0.32	0.307	0.307	0.317	0.327	0.273	0.301	0.262	0.298	0.285	0.285	0.295	0.305	0.135	0.163	0.124	0.159	0.146	0.147	0.156	0.167	0.176	0.204	0.165	0.2	0.187	0.188	0.197	0.208	0.257	0.285	0.246	0.281	0.268	0.269	0.278	0.289	0.31	0.338	0.299	0.335	0.322	0.322	0.332	0.342
CPI-SS0FBC9234C	TNF_PTPRS	simple:P01375	simple:Q13332	TNF	PTPRS	True	False	True	InnateDB-All	False	0.0	0.102	0.0	0.101	0.102	0.101	0.0	0.0	0.0	0.104	0.0	0.103	0.103	0.103	0.0	0.0	0.0	0.018	0.0	0.017	0.017	0.017	0.0	0.0	0.0	0.02	0.0	0.019	0.02	0.019	0.0	0.0	0.0	0.371	0.0	0.371	0.371	0.371	0.0	0.0	0.0	0.166	0.0	0.165	0.165	0.165	0.0	0.0	0.0	0.035	0.0	0.034	0.035	0.034	0.0	0.0	0.0	0.031	0.0	0.03	0.031	0.03	0.0	0.0
CPI-SS034B442CE	TNF_CELSR2	simple:P01375	simple:Q9HCU4	TNF	CELSR2	True	False	True	InnateDB-All	False	0.0	0.102	0.104	0.105	0.103	0.102	0.0	0.0	0.0	0.103	0.105	0.106	0.104	0.103	0.0	0.0	0.0	0.017	0.019	0.02	0.018	0.017	0.0	0.0	0.0	0.019	0.022	0.023	0.02	0.02	0.0	0.0	0.0	0.371	0.373	0.374	0.372	0.371	0.0	0.0	0.0	0.165	0.167	0.169	0.166	0.165	0.0	0.0	0.0	0.035	0.037	0.038	0.036	0.035	0.0	0.0	0.0	0.03	0.033	0.034	0.031	0.031	0.0	0.0
CPI-SS05E4B1EBC	INS_INSR	simple:P01308	simple:P06213	INS	INSR	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.005	0.006	0.003	0.036	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.004	0.004	0.002	0.035	0.025	0.0	0.0	0.008	0.003	0.003	0.001	0.034	0.024	0.0	0.0	0.014	0.008	0.008	0.006	0.039	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS003610FF9	CXCR3_CCL19	simple:P49682	simple:Q99731	CXCR3	CCL19	True	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.465	0.0	0.0	0.0	0.0
CPI-SS056BE1011	CCRL2_CCL19	simple:O00421	simple:Q99731	CCRL2	CCL19	True	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0
CPI-SS098EFF959	CCR7_CCL19	simple:P32248	simple:Q99731	CCR7	CCL19	True	True	False	curated	False	0.0	0.0	0.0	0.186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.324	0.0	0.0	0.0	0.0
CPI-SS0F8C664D9	CXCR3_CCL20	simple:P49682	simple:P78556	CXCR3	CCL20	True	True	False	guidetopharmacology.org	False	0.388	0.329	0.23	0.0	0.478	0.326	0.284	0.27	0.514	0.455	0.356	0.0	0.604	0.452	0.41	0.396	0.636	0.577	0.478	0.0	0.726	0.574	0.532	0.519	0.828	0.769	0.669	0.0	0.917	0.766	0.723	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.169	0.11	0.01	0.0	0.259	0.107	0.065	0.051	0.422	0.363	0.264	0.0	0.512	0.36	0.318	0.305	0.631	0.572	0.473	0.0	0.721	0.569	0.527	0.514
CPI-SS07F015051	CCR6_CCL20	simple:P51684	simple:P78556	CCR6	CCL20	True	True	False	curated	False	0.336	0.277	0.178	0.0	0.426	0.274	0.232	0.218	0.227	0.169	0.069	0.0	0.317	0.165	0.123	0.11	0.169	0.111	0.011	0.0	0.259	0.107	0.065	0.052	0.17	0.111	0.011	0.0	0.26	0.108	0.066	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.169	0.11	0.01	0.0	0.259	0.107	0.065	0.051	0.394	0.335	0.236	0.0	0.484	0.332	0.29	0.276	0.332	0.274	0.174	0.0	0.422	0.27	0.228	0.215
CPI-SS0DBA4D668	DPP4_CXCL12	simple:P27487	simple:P48061	DPP4	CXCL12	True	True	False	curated	False	0.0	0.0	0.0	0.025	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.019	0.0	0.0
CPI-SS07155793F	ACKR3_CXCL12	simple:P25106	simple:P48061	ACKR3	CXCL12	True	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.089	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
CPI-SS0DCA69916	TNFRSF13B_TNFSF13	simple:O14836	simple:O75888	TNFRSF13B	TNFSF13	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.016	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.005	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.005	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.016	0.013	0.0	0.0	0.0	0.0	0.019	0.0	0.021	0.018	0.0	0.0
CPI-SS0AA47D179	TNFRSF13B_CD70	simple:O14836	simple:P32970	TNFRSF13B	CD70	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.131	0.139	0.153	0.0	0.013	0.08	0.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.115	0.119	0.128	0.141	0.0	0.002	0.069	0.112	0.115	0.12	0.128	0.141	0.0	0.002	0.069	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.13	0.138	0.152	0.0	0.013	0.08	0.123	0.131	0.135	0.143	0.157	0.0	0.018	0.084	0.128
CPI-SS0D4BF6CA3	CD27_CD70	simple:P26842	simple:P32970	CD27	CD70	True	True	False	curated	False	0.508	0.512	0.521	0.534	0.0	0.395	0.462	0.505	0.801	0.805	0.813	0.827	0.0	0.688	0.754	0.798	0.852	0.857	0.865	0.878	0.0	0.739	0.806	0.849	1.072	1.076	1.085	1.098	0.0	0.959	1.026	1.069	0.115	0.12	0.128	0.141	0.0	0.002	0.069	0.112	0.118	0.122	0.13	0.144	0.0	0.005	0.071	0.114	1.405	1.409	1.417	1.431	0.0	1.291	1.358	1.401	1.465	1.47	1.478	1.491	0.0	1.352	1.419	1.462
CPI-SS083296041	CD40_CD40LG	simple:P25942	simple:P29965	CD40	CD40LG	True	True	False	curated	False	0.355	0.333	0.008	0.004	0.003	0.003	0.043	0.035	0.357	0.335	0.01	0.006	0.005	0.005	0.044	0.037	0.355	0.333	0.008	0.004	0.003	0.003	0.043	0.035	0.358	0.336	0.011	0.007	0.006	0.006	0.045	0.038	0.406	0.384	0.059	0.055	0.054	0.054	0.093	0.086	0.433	0.411	0.086	0.082	0.081	0.081	0.12	0.113	0.37	0.347	0.023	0.018	0.018	0.018	0.057	0.05	0.369	0.347	0.022	0.018	0.017	0.017	0.056	0.049
CPI-SS05834E385	CD40_INSL3	simple:P25942	simple:P51460	CD40	INSL3	True	True	False	I2D	False	0.03	0.018	0.008	0.007	0.012	0.006	0.025	0.019	0.032	0.02	0.01	0.008	0.014	0.007	0.027	0.021	0.03	0.018	0.008	0.007	0.012	0.006	0.025	0.019	0.033	0.021	0.011	0.009	0.015	0.008	0.028	0.022	0.081	0.069	0.059	0.058	0.063	0.057	0.076	0.07	0.108	0.096	0.086	0.085	0.09	0.084	0.103	0.097	0.044	0.033	0.023	0.021	0.026	0.02	0.04	0.033	0.044	0.032	0.022	0.02	0.026	0.019	0.039	0.033
CPI-SS026776C89	HLA-DQB2_PRL	simple:HLADQB2	simple:P01236	HLA-DQB2	PRL	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.003	0.0	0.005	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0EF0750A7	HLA-DRB1_OGN	simple:HLADRB1	simple:P20774	HLA-DRB1	OGN	True	True	False	InnateDB-All	False	1.169	1.177	0.0	1.153	1.154	0.0	0.0	0.0	1.139	1.147	0.0	1.123	1.123	0.0	0.0	0.0	3.293	3.3	0.0	3.277	3.277	0.0	0.0	0.0	2.148	2.156	0.0	2.132	2.132	0.0	0.0	0.0	7.367	7.374	0.0	7.351	7.351	0.0	0.0	0.0	4.197	4.204	0.0	4.181	4.181	0.0	0.0	0.0	2.408	2.416	0.0	2.393	2.393	0.0	0.0	0.0	1.052	1.059	0.0	1.036	1.036	0.0	0.0	0.0
CPI-CS06072FF4E	IL1 receptor_IL1A	complex:IL1 receptor	simple:P01583		IL1A	True	True	False	curated	False	0.0	0.004	0.0	0.0	0.036	0.007	0.0	0.0	0.0	0.025	0.0	0.0	0.057	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.033	0.005	0.0	0.0	0.0	0.179	0.0	0.0	0.211	0.182	0.0	0.0	0.0	0.142	0.0	0.0	0.173	0.145	0.0	0.0	0.0	0.029	0.0	0.0	0.061	0.033	0.0	0.0	0.0	0.031	0.0	0.0	0.063	0.034	0.0	0.0
CPI-CS0AC5142FA	IL1 receptor inhibitor_IL1A	complex:IL1 receptor inhibitor	simple:P01583		IL1A	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.034	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.034	0.005	0.0	0.0	0.0	0.136	0.0	0.0	0.168	0.14	0.0	0.0	0.0	0.276	0.0	0.0	0.308	0.279	0.0	0.0	0.0	0.029	0.0	0.0	0.061	0.033	0.0	0.0	0.0	0.031	0.0	0.0	0.063	0.034	0.0	0.0
CPI-CS05426BFFA	IL1 receptor_IL1B	complex:IL1 receptor	simple:P01584		IL1B	True	True	False	curated	False	0.0	0.012	0.008	0.008	4.438	1.231	0.014	0.011	0.0	0.034	0.03	0.029	4.46	1.253	0.035	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.006	0.005	4.436	1.229	0.012	0.008	0.0	0.187	0.183	0.182	4.613	1.406	0.189	0.186	0.0	0.15	0.146	0.145	4.576	1.369	0.152	0.149	0.0	0.038	0.034	0.033	4.464	1.257	0.04	0.037	0.0	0.039	0.035	0.035	4.465	1.258	0.041	0.038
